#{"t_start": 1710787735.6762125, "env_id": "None"}
r,l,t
-998.7,48,165.564882
-1604.2,65,165.682483
-796.5,42,165.762105
-4558.6,128,165.959795
-2103.1,74,166.03974
-1553.1,63,166.140228
-1448.7,57,166.198605
16.7,14,166.215293
-2107.5,78,166.284362
-3405.3,102,166.419888
-2055.3,75,166.532428
-804.2,49,166.622473
-444.3,33,166.690239
-1954.2,72,166.852342
-2557.5,87,166.999415
-1403.1,60,167.076982
-2355.3,81,167.174093
-2658.6,90,167.303908
-4407.5,124,167.436441
-3957.5,115,167.538118
-6008.6,157,169.853247
-2706.4,89,169.945657
-2757.5,91,170.028954
-1304.2,59,170.083738
-747.6,42,170.140943
-2955.3,93,170.29153
-1753.1,67,170.397743
-597.6,39,170.458421
-4207.5,120,170.629965
-3506.4,105,170.791979
-3304.2,99,170.944061
-2355.3,81,171.075246
-2557.5,87,171.194392
-1500.9,60,171.336967
-1002.0,51,171.42026
-3205.3,98,171.560426
-594.3,36,171.6476
-3957.5,115,171.864669
-1848.7,65,172.029873
-1299.8,55,172.118049
-2654.2,86,172.233927
-495.4,35,172.272178
-1954.2,72,172.387476
-2855.3,91,172.550266
-4908.6,135,172.707127
-1253.1,57,172.817909
-2555.3,85,175.19693
-1703.1,66,175.28459
-2905.3,92,175.392906
-1700.9,64,175.506995
-1705.3,68,175.620605
-2507.5,86,175.83367
-3958.6,116,175.956043
-3958.6,116,176.11018
-245.4,30,176.172685
-749.8,44,176.277333
-2656.4,88,176.426319
-2104.2,75,176.532397
-6057.5,157,176.785882
-797.6,43,176.8843
-192.1,26,176.946795
-1753.1,67,177.089241
-748.7,43,177.141046
-3506.4,105,177.263487
-7058.6,178,177.520051
-3307.5,102,177.689014
-7058.6,178,177.959404
-294.3,30,178.009504
-1053.1,53,178.103043
-4257.5,121,178.230109
-4056.4,116,180.733862
-1004.2,53,180.797105
-2705.3,88,180.915277
-1703.1,66,180.998111
-5356.4,142,181.226615
-796.5,42,181.312601
-2004.2,73,181.517622
-3057.5,97,181.614239
-7258.6,182,181.837038
-2455.3,83,181.950728
-2258.6,82,182.016622
-2357.5,83,182.107077
-1955.3,73,182.23878
-2605.3,86,182.391412
-1954.2,72,182.564869
-3604.2,105,182.777588
-4758.6,132,182.912064
-1249.8,54,183.006763
-4557.5,127,183.214969
-6808.6,173,183.452825
-346.5,33,183.48419
-793.2,39,183.556438
-9458.6,226,186.063129
-4207.5,120,186.191634
-2555.3,85,186.38465
-3858.6,114,186.588108
-4658.6,130,186.768872
-648.7,41,186.846286
-6307.5,162,187.127391
-2654.2,86,187.234481
-3156.4,98,187.384279
-4708.6,131,187.514906
-1650.9,63,187.625268
-1150.9,53,187.746447
-2504.2,83,187.964503
-1803.1,68,188.071181
-7858.6,194,188.423168
-8307.5,202,188.692103
-1043.2,44,188.736251
-2204.2,77,188.87397
-2754.2,88,188.988437
-1503.1,62,189.045916
-5508.6,147,191.332273
-1504.2,63,191.410133
-343.2,30,191.436193
-10708.6,251,191.778301
-1904.2,71,191.871537
-1703.1,66,192.000749
-5358.6,144,192.190197
-6157.5,159,192.399285
-7108.6,179,192.728485
-996.5,46,192.833816
-3003.1,92,192.957515
-1754.2,68,193.033934
-10208.6,241,193.3241
-2556.4,86,193.430532
-2454.2,82,193.581182
-997.6,47,193.627252
-897.6,45,193.6691
-3855.3,111,193.823686
-3756.4,110,193.954402
-5407.5,144,196.322114
-1500.9,60,196.391416
-2957.5,95,196.509176
-6658.6,170,196.772874
-1754.2,68,196.826009
-2154.2,76,196.910131
-2857.5,93,197.043875
-3006.4,95,197.171782
-650.9,43,197.247935
-2455.3,83,197.385148
-1455.3,63,197.452186
-698.7,42,197.531768
-905.3,52,197.658991
-855.3,51,197.780436
-2555.3,85,197.96972
-3955.3,113,198.160467
-4858.6,134,198.369217
-2353.1,79,198.462019
-3458.6,106,198.57703
-1448.7,57,198.676811
-3006.4,95,198.854663
-1202.0,55,198.952882
-2507.5,86,199.089662
-997.6,47,199.154929
-5258.6,142,201.443022
-1099.8,51,201.509697
-3606.4,107,201.631232
-694.3,38,201.696721
-1253.1,57,201.846979
-4555.3,125,202.037709
-4207.5,120,202.195364
-2255.3,79,202.341734
-649.8,42,202.412879
-3256.4,100,202.558783
-2606.4,87,202.668865
-241.0,26,202.729967
-245.4,30,202.808825
-4006.4,115,202.985062
59.0,20,203.008083
-2857.5,93,203.147565
-1699.8,63,203.246098
-1148.7,51,203.334104
-700.9,44,203.432319
-2253.1,77,203.529132
-2102.0,73,203.5985
-5508.6,147,203.782837
-1755.3,69,203.842865
-1497.6,57,203.923511
-4607.5,128,204.136507
-3958.6,116,204.240135
-1148.7,51,204.325032
-3957.5,115,206.70195
-2856.4,92,206.827214
-3205.3,98,206.921109
-4708.6,131,207.077847
-2148.7,71,207.202441
-1853.1,69,207.300579
-2905.3,92,207.501315
-3656.4,108,207.615597
-800.9,46,207.659302
-846.5,43,207.72131
-2155.3,77,207.887612
-2205.3,78,208.059765
-2556.4,86,208.147313
-1600.9,62,208.290724
-799.8,45,208.371554
-6408.6,165,208.551141
-1753.1,67,208.632373
-396.5,34,208.663053
-5408.6,145,208.888963
-2855.3,91,209.057209
-2805.3,90,209.166781
-1853.1,69,209.287729
-3508.6,107,209.424509
-546.5,37,209.468335
-547.6,38,209.528232
-1398.7,56,211.674198
-1405.3,62,211.768457
-3207.5,100,211.89143
-902.0,49,211.962702
-596.5,38,212.003818
-2106.4,77,212.114876
-1454.2,62,212.237475
-2307.5,82,212.371084
-7407.5,184,212.594071
-744.3,39,212.661993
-5058.6,138,212.828828
-3154.2,96,212.909567
-2356.4,82,213.014357
-1354.2,60,213.090021
-2457.5,85,213.220379
-798.7,44,213.302843
-7158.6,180,213.462079
-3757.5,111,213.678887
-2906.4,93,213.77882
-1650.9,63,213.851375
-2205.3,78,213.931494
-391.0,29,213.973258
-3807.5,112,214.108802
-595.4,37,214.154952
-1599.8,61,214.227024
-2956.4,94,216.653192
-2303.1,78,216.747411
-948.7,47,216.803666
-2404.2,81,216.888033
-1105.3,56,217.001019
-7758.6,192,217.299861
-6758.6,172,217.441054
-2108.6,79,217.556673
-6758.6,172,217.721412
-2958.6,96,217.8714
-1103.1,54,217.991388
-3506.4,105,218.135747
-38.8,20,218.159915
-9708.6,231,218.513348
-746.5,41,218.553265
-3006.4,95,218.705659
-4105.3,116,218.911161
-1602.0,63,219.023574
-4157.5,119,219.160061
-3856.4,112,219.313165
-5208.6,141,221.427153
-998.7,48,221.491395
-1248.7,53,221.559963
-1903.1,70,221.645473
-1000.9,50,221.757244
-2005.3,74,221.88495
-1302.0,57,221.962909
-1353.1,59,222.040023
-899.8,47,222.088205
-742.1,37,222.125352
-948.7,47,222.18897
-2503.1,82,222.269907
-4308.6,123,222.388093
-2604.2,85,222.458727
-741.0,36,222.489714
-1354.2,60,222.635476
-1502.0,61,222.742497
-248.7,33,222.785074
-2352.0,78,222.95991
-2053.1,73,223.105343
-1955.3,73,223.187861
-2957.5,95,223.374642
-5258.6,142,223.600072
-4406.4,123,223.819966
-6807.5,172,224.005579
